EstacaoCodigo;NivelConsistencia;Data;Media;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
36160000;2;01/01/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/12/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/11/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/10/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/09/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/08/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/07/2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/06/2012;0.229;0;0;0;0;0;0;0;0;0;0;0;0.981;0.897;0.817;0.742;0.672;0.672;0.672;0.742;0.672;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/05/2012;1.53;3.545;3.181;3.007;2.84;2.522;2.227;2.227;1.954;1.954;1.702;1.702;1.584;1.472;1.472;1.472;1.364;1.261;1.163;1.069;1.069;0.981;0.897;0.817;0.742;0.672;0.742;0.897;0.817;0.742;0.672;0.672
36160000;2;01/04/2012;15.035;56.905;46.768;32.905;26.731;19.677;15.684;13.462;13.042;27.378;14.77;11.443;14.77;16.153;11.443;8.944;7.383;6.809;6.263;5.744;7.681;18.115;13.462;10.326;10.326;8.617;6.532;5.744;5.252;4.787;3.934;
36160000;2;01/03/2012;50.277;23.04;17.612;12.227;9.97;12.631;17.612;18.115;12.631;18.115;13.042;17.612;56.905;26.731;18.627;51.682;32.18;51.682;28.036;17.612;13.89;30.76;32.18;29.379;21.883;16.153;25.463;261.523;346.741;142.718;107.934;73.9
36160000;2;01/02/2012;16.05;2.84;2.372;1.954;1.702;1.702;1.472;1.261;1.069;0.817;0.817;0.817;0.817;0.897;0.817;0.742;0.672;0.742;1.069;13.89;45.869;53.744;92.839;31.465;39.061;24.844;19.147;33.639;51.682;36.677;;
36160000;2;01/01/2012;4.598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.495;26.731;25.463;29.379;18.115;13.042;7.986;8.617;4.348;3.36
36160000;2;01/12/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/11/2011;2.091;2.088;1.702;1.472;1.364;1.261;4.787;3.545;2.522;1.826;1.702;1.472;1.261;4.787;7.383;5.495;3.934;3.007;2.372;1.954;1.702;1.472;1.261;1.069;0.897;0.981;0.742;0.672;0;0;0;
36160000;2;01/10/2011;2.675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.326;23.04;14.77;7.986;5.744;4.348;3.36;2.678;2.227;2.227;2.227
36160000;2;01/09/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/08/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/07/2011;1.747;2.227;2.088;1.954;1.826;1.826;1.702;1.584;1.584;1.702;1.702;1.954;2.227;4.787;3.36;2.522;2.227;2.227;1.954;1.954;1.826;1.472;1.261;1.261;1.069;1.069;0.981;0.897;0.817;0.742;0.672;0.672
36160000;2;01/06/2011;6.153;15.223;13.462;12.227;11.063;9.97;9.279;8.617;7.681;7.383;6.809;6.263;6.263;5.744;5.744;5.252;4.787;4.564;4.348;3.934;3.934;3.737;3.737;3.545;3.545;3.36;3.36;3.181;2.84;2.522;2.227;
36160000;2;01/05/2011;137.508;98.211;152.496;217.118;230.848;580.963;729.313;437.172;257.335;172.91;115.128;83.762;65.724;51.682;43.238;35.138;30.76;28.702;82.499;187.148;183.542;110.787;77.534;59.057;46.768;40.701;33.639;28.702;24.844;20.762;19.147;17.117
36160000;2;01/04/2011;54.54;55.843;35.903;30.76;24.233;19.677;30.065;23.632;17.612;14.77;14.77;28.036;20.215;19.677;18.115;19.677;24.233;46.768;55.843;76.314;157.492;118.063;112.226;139.523;112.226;121.031;103.717;65.724;48.655;39.875;41.536;
36160000;2;01/03/2011;104.979;253.177;172.91;274.267;265.741;116.592;71.521;64.591;75.103;351.52;265.741;162.56;115.128;76.314;56.905;52.708;44.105;35.138;28.036;21.883;18.115;17.117;39.061;106.52;56.905;36.677;29.379;27.378;25.463;215.187;115.128;63.466
36160000;2;01/02/2011;48.98;18.627;30.76;79.999;55.843;87.601;79.999;61.244;39.061;30.76;25.463;18.115;13.042;9.97;13.042;14.77;12.227;9.97;13.89;35.903;95.508;134.791;98.211;50.664;32.905;41.536;46.768;54.789;165.978;;;
36160000;2;01/01/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/12/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/11/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/10/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/09/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/08/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/07/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/06/2010;0.196;0.742;0.672;0.672;0.672;0.672;0.817;0.897;0.742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/05/2010;4.47;7.383;5.744;5.252;4.787;5.252;6.532;5.495;4.787;3.934;3.545;3.181;2.84;2.372;19.677;19.677;7.681;5.252;3.737;3.181;2.678;2.227;2.088;1.702;1.954;1.472;1.364;1.163;1.069;0.897;0.817;0.817
36160000;2;01/04/2010;42.546;0;0.672;1.069;1.364;1.261;1.069;0.897;0.817;0.897;0.981;73.9;122.528;109.357;150.846;79.999;54.789;54.789;85.033;155.819;131.676;68.016;49.655;33.639;24.233;19.147;13.89;11.063;9.279;8.617;11.063;
36160000;2;01/03/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
